route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
05,T24_BL-2-31,34584,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34585,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34586,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34587,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34588,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34589,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3459,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34590,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34591,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34592,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34593,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34594,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34595,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34596,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34597,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34598,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34599,Théâtre des Arts ROUEN,1,,,
92,T24_BL-2-31,346,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
90,TXM_J2-2-31,3460,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34600,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34601,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34602,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34603,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34604,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34605,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34606,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34607,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34608,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34609,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3461,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34610,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34611,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34612,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34613,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34614,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34615,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34616,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34617,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34618,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34619,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3462,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34620,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34621,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34622,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34623,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34624,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34625,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34626,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34627,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34628,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34629,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3463,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34630,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34631,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34632,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34633,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34634,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34635,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34636,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34637,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34638,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34639,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3464,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34640,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34641,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34642,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34643,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34644,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34645,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34646,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34647,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34648,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34649,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3465,Georges Braque GRAND QUEVILLY,0,,,
